joint_name,mpjpe_px,sd_px,median_px,iqr_px,p95_px,n_pairs_px,mpjpe_cm,sd_cm,median_cm,iqr_cm,p95_cm,n_pairs_cm,mean_centroid_dev_px,mean_centroid_dev_cm,mean_not_visible_rate,icc_x_px,icc_y_px,icc_x_cm,icc_y_cm
Head,4.0904,2.1841,3.9022,2.9109,8.7326,180,0.8894,0.4749,0.8485,0.633,1.899,180,2.736,0.5949,0.0,,,,
Left Shoulder,9.7043,6.1181,8.7326,8.1799,20.6199,180,2.1097,1.3301,1.899,1.7777,4.4829,180,6.3734,1.3855,0.0,,,,
Right Shoulder,11.9414,7.3204,10.5019,6.8586,24.8788,180,2.596,1.5914,2.2838,1.4916,5.408,180,8.0119,1.7417,0.0,,,,
Left Elbow,26.7318,71.047,10.4952,10.7931,33.3704,180,5.8115,15.4455,2.2812,2.3474,7.254,180,19.9555,4.3384,0.0,,,,
Right Elbow,24.6085,72.3275,9.2049,7.7585,27.7473,180,5.3499,15.724,2.0008,1.6867,6.0326,180,19.3486,4.2064,0.0,,,,
Left Wrist,6.872,3.9231,6.5089,5.0884,13.0782,180,1.4941,0.8529,1.4154,1.1072,2.844,180,4.5877,0.9975,0.0,,,,
Right Wrist,7.9619,4.3283,7.1967,4.7179,14.8842,180,1.7311,0.941,1.5644,1.0255,3.2358,180,5.28,1.148,0.0,,,,
Left Knee,9.6646,5.7183,8.7326,6.1801,20.6133,180,2.101,1.2433,1.898,1.3439,4.4812,180,6.3521,1.3809,0.0,,,,
Right Knee,11.603,6.7935,10.4952,8.1175,24.0035,180,2.5225,1.4769,2.2823,1.7654,5.2187,180,7.6296,1.6587,0.0,,,,
Left Ankle,14.8747,9.3332,14.5543,14.074,34.3016,180,3.2337,2.0291,3.1638,3.0596,7.4579,180,10.1496,2.2065,0.0,,,,
Right Ankle,17.4631,10.3027,15.7864,15.0153,36.0053,180,3.7965,2.2398,3.4317,3.2632,7.8278,180,11.5705,2.5154,0.0,,,,
